N,frame,theta,angular velocity,angular acc,time
0,269,-0.109129,-0.547406,1.014,2.69
0,270,-0.114496,-0.536733,1.06734,2.7
0,271,-0.119751,-0.525537,1.11961,2.71
0,272,-0.12489,-0.513829,1.17076,2.72
0,273,-0.129906,-0.501622,1.22074,2.73
0,274,-0.134795,-0.488927,1.2695,2.74
0,275,-0.139553,-0.475757,1.317,2.75
0,276,-0.144174,-0.462125,1.36318,2.76
0,277,-0.148655,-0.448045,1.40802,2.77
0,278,-0.15299,-0.43353,1.45145,2.78
0,279,-0.157176,-0.418596,1.49346,2.79
0,280,-0.161208,-0.403256,1.53399,2.8
0,281,-0.165084,-0.387526,1.57301,2.81
0,282,-0.168798,-0.371421,1.61048,2.82
0,283,-0.172347,-0.354957,1.64637,2.83
0,284,-0.175729,-0.338151,1.68065,2.84
0,285,-0.178939,-0.321018,1.71329,2.85
0,286,-0.181975,-0.303575,1.74426,2.86
0,287,-0.184833,-0.28584,1.77353,2.87
0,288,-0.187511,-0.267829,1.80107,2.88
0,289,-0.190007,-0.249561,1.82686,2.89
0,290,-0.192318,-0.231052,1.85089,2.9
0,291,-0.194441,-0.212321,1.87312,2.91
0,292,-0.196375,-0.193385,1.89354,2.92
0,293,-0.198117,-0.174264,1.91213,2.93
0,294,-0.199667,-0.154975,1.92887,2.94
0,295,-0.201022,-0.135538,1.94376,2.95
0,296,-0.202182,-0.11597,1.95678,2.96
0,297,-0.203145,-0.0962907,1.96791,2.97
0,298,-0.20391,-0.0765191,1.97716,2.98
0,299,-0.204477,-0.0566741,1.9845,2.99
0,300,-0.204845,-0.0367747,1.98994,3
0,301,-0.205013,-0.01684,1.99347,3.01
0,302,-0.204982,0.0031108,1.99508,3.02
0,303,-0.204751,0.0230587,1.99479,3.03
0,304,-0.204322,0.0429844,1.99257,3.04
0,305,-0.203693,0.0628689,1.98845,3.05
0,306,-0.202866,0.082693,1.98242,3.06
0,307,-0.201842,0.102438,1.97448,3.07
0,308,-0.200621,0.122084,1.96464,3.08
0,309,-0.199205,0.141613,1.95292,3.09
0,310,-0.197595,0.161007,1.93932,3.1
0,311,-0.195792,0.180245,1.92385,3.11
0,312,-0.193799,0.19931,1.90653,3.12
0,313,-0.191617,0.218184,1.88736,3.13
0,314,-0.189249,0.236848,1.86638,3.14
0,315,-0.186696,0.255284,1.84359,3.15
0,316,-0.183961,0.273474,1.81901,3.16
0,317,-0.181047,0.2914,1.79267,3.17
0,318,-0.177957,0.309046,1.76458,3.18
0,319,-0.174693,0.326394,1.73478,3.19
0,320,-0.171258,0.343427,1.70329,3.2
0,321,-0.167657,0.360129,1.67014,3.21
0,322,-0.163892,0.376482,1.63535,3.22
0,323,-0.159968,0.392472,1.59896,3.23
0,324,-0.155887,0.408082,1.561,3.24
0,325,-0.151654,0.423297,1.52151,3.25
0,326,-0.147273,0.438102,1.48052,3.26
0,327,-0.142748,0.452483,1.43806,3.27
0,328,-0.138084,0.466424,1.39418,3.28
0,329,-0.133285,0.479914,1.34892,3.29
0,330,-0.128355,0.492937,1.30232,3.3
0,331,-0.1233,0.505481,1.25443,3.31
0,332,-0.118125,0.517534,1.20528,3.32
0,333,-0.112834,0.529083,1.15494,3.33
0,334,-0.107433,0.540118,1.10343,3.34
0,335,-0.101927,0.550626,1.05082,3.35
0,336,-0.0963208,0.560597,0.997154,3.36
0,337,-0.0906206,0.570022,0.942485,3.37
0,338,-0.0848317,0.578891,0.886867,3.38
0,339,-0.0789597,0.587195,0.830354,3.39
